BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
2595;11124;no prende;F1 3 amperes quemado,C441 = 1000mfd-10vdc explotado, C661=470mfd-25vdc explotado, D17 en circuito, U3 se super calienta;;0
2596;11125;No funciona;sistema mecánico de la bandeja y piñones llenos de grasa y polvo, limpieza;;0
2597;11126;no enciende fuente quemada;se reemplazo diodos de fuente y tr 13005 por but 11a;;0
2598;11127;error memoria consumible;intercambiar chip o cambiar cartucho;no puede imprimir por este mensaje, creemos que puede ser del chip del cartucho, al cambiarlo funciona.;0
2599;11128;No enciende;"Cambiar del primario de la fuente:
Integrado UC3843AL
Resistencia 2ohm y resistencia 1ohm
Mosfet FQPF5N60C.
Recomendable cambiarle el condensador de 22micro 400V y ponerle la resistencia de 2ohm de mas vatios.";El led del adaptador no enciende. Se comprueba la salida y da 0V.;0
2600;11129;Impresora no acepta cartuchos Recargados;"En la mayoría de los modelos se debe:
1º)Colocar los cartuchos recargados en la impresora.
2º)Enviar un documento cualquiera a imprimir.
3º)Cuando se presente el mensaje de que los cartuchos están vacios presione el botón Stop por 7 a 8 segundos.
4º)Cuando el visor de la impresora empiece a \""girar\"" suelte el botón.
5º)Repita el mismo proceso para el segundo cartucho(si fuera necesario)
6º)La impresora empezará a imprimir como antes, solo que no mostrará el nivel de tinta de los cartuchos.
NOTA: En algunos modelos mas antiguos presione el botón Start (Color) para que surta el mismo efecto.
Cada vez que recargue los cartuchos debe de realizar este mismo proceso.
";Luego de recargar estos cartuchos y colocarlos en las impresora aparecen mensajes de erro E3, E4, indicando que el cartucho está vacio y no imprime;0
2601;10792;no prende;cambiar diodo D022 en corto,en el puente rectificador de la entrada de AC.y fusible 3.15a.  el diodo es un 1N5407 se puede sustituir por SK3GD08;no prende nada.;0
2602;11130;Sonido intermitente al encender;Condensador 2551 de 47uF 160V, defectuoso.;Voltaje B+ oscilante entre 85 a 100V.;0
2603;10875;se quema repetidamente el vertical, la fuente mide 126volt elevada;Se midieron las tensiones del vertical dieron 27 volt en lugar de 24v, las demas tensiones del secundario de fly back se presentan   elevadas,esto se da porque el +B de la fuente esta elevado.Despues de probar resistores y capacitores no se consiguio que la fuente regule. Se soluiciono al cambiar integrado de la fuente el str-s5707, luego de lo cual la tension y funcionamiento se normalizo.;el televisor presenta quemado el integrado de vertical, ya venia de otro taller. Al cambiarlo funciona pero a los instantes recalienta demasiado.;0
2604;10500;no me escuchan;halguien me da la solucion;cuando hablo no me escuchan, ya le he cambiado microfono, lo he labado con ultrasonido y nada que estoy haciendo mal ayuda;0
2605;3211;EncendÃ­a el TV y no salÃ­a de AV;;;0
2606;11131;linea negra como de 2 cm in la parte superior con dobles vertical,;remplazar condensador c2460 de 56n  por uno de 1 mf              diodos 6461, 6462 y 6463;voltaje bajo en el colector del tr. 7464 (bd 135)    trs,resistencias,filtros y condensadores  en buen estado;0
2607;11132;Problema en el diafragma;Reemplazar el flexible del diafragma.;No da imagen;0
2608;11133;no arranca;cambio c516=472K-2KV en corto-U513=C4423 en corto-fuse=2,5 amperios,abierto-R526 suelta,soldar;al pulsar power ,no arranca;0
2609;11134;cinescopio bajo;al cambiar las tarjetas de circuitos de la de 27 a la de 29 esta funciono correctamente, llenando el cinescopio por completo, les paso esto por si algún dia tienen el mismo problema;Hace 1 año llego a mi taller este tv sony, la imagen era intermitente por lo bajo del cinescopio (quemado), hace una semana me llego un tv de las mismas características solo que es de 29 pulgadas, este llego por descarga, al cambiar las tarjetas de circuitos de la de 27 a la de 29 esta funciono correctamente, llenando el cinescopio por completo, les paso esto por si algún dia tienen el mismo problema;0
2610;11135;vertical;cambiar el diodo zener;"recalienta y quema el integrado vertical (ka213
1)diodo zener abierto";0
2611;11136;No enciende nada, ningún Led del frente.;"QUEDO FUNCIONANDO PERFECTAMENTE BIEN HAY QUE MARCAR LOS ENCHUFES DE LA TARJETA PORQUE HAY UNO QUE PUEDE IR EN DOS LUGARES DISTINTOS.

FAGOR NO TENIA REPUESTO DE LA TARJETA ASI QUE HAY QUE REPARARLA.SUERTE.";"Se cambio resistencia de 100 ohm.2 watts.en la entrada de 220 volt a los diodos rec.Se encontraba quemada.En la 
Tarjeta ELECTRÓNICA master que se encuentra abajo del gabinete y no en la de control QUE ESTA AL FRENTE.";0
2612;11137;No enciende;Con pistola de aire calentar el chip de video no mas de 30 segundos presionar para que quede bien soldado. Posterior descargar la ultima actualización del bios.;al presionar power prenden todas las luces por un segundo y se apagan. Al conectar el cargador no prende el indicador de carga. Previo a esto se daño la tarjeta wireless.;0
2613;10381;No tiene imagen. Fuente enciende. led verde tb;se repusieron por 1000x50v. Tb se repuso F802 abierto;capacitores 820x25 hinchados;0
2614;11138;rayas verticales rojas anchas y ruido en pantalla;reconexion de flex;falso contacto en flex de placa de video a lcd;0
2615;11138;no enciende - titila led;se repone c110 por 1000x25. c109 y c113 se ven inflados, tb se cambian 470x25;c110 1000x10 con fugas.;0
2616;11139;Volumen descontrolado;Se desarmo el equipo y se cambio el potenciómetro multivueltas por uno nuevo.;Al intentar disminuir el volumen desde el panel frontal, este subía y bajaba descontrolado.;0
2617;11140;ruido interno;ajusté con formaleta plástica cilíndrica las 2 piezas núcleo-imán de bobina LR401S=423C,ya que por calentamiento se había corrido,ok desapareció ruido;ruido-pito fastidioso dentro del Televisor.;0
2618;11141;No enciende chispas y ruido en el flay back-;Se encuentra fly back averiado, se reemplaza por el  código FSV20B013 que es el original , se cambian todos los micro-swich del panel frontal ya que estaban dañados y un filtro de  1-Mf-x250V de la board No 491.;;0
2619;11142;Ruido y chispas en el interior;Fly back en corto, se cambia por uno de segunda igual y se limpia la parte de la pantalla en la chupa del fly back. se prueba y funciona ok.;;0
2620;11143;No prende;Se encuentra Transistor de salida horizontal en corto C5297 y circuito vertical y oscilador abierto, Se reemplaza por D2499 porque no habia el c5297, se corrigen los circuitos en mención haciendo un barrido general por la Board. Queda funcionado bien.;;0
2621;11144;Pantalla azul;Un examen más cuidadoso reveló sulfato en la placa donde van los displays,fue necesario cambiar esta placa y listo.;Como 5 segundos después de iniciar bien, el display se pone azul,Principal sospechoso era la cinta flex(muy común en este modelo)se lo cambió y seguía igual.;0
2622;11145;enciende pero no tiene actividad ni video;La mayoría de las HP tiene este problema debido a un problema de fabricación. En muchos casos se soluciona resoldando el chipset en otros casos hay que sacarlo y limpiar para colocar estaño nuevo, es relativamente sencillo si se cuenta con el equipo pero un poco difícil sin el. El cuidado que hay que tener en el proceso es de no utilizar mas temperatura que la necesaria y ayudarse de un buen flux para facilitar la tarea. ;Puede empezar que no tiene wi-fi, después el problema empieza a empeorar y aveces no quiere arrancar y en la ultima face se ven las luces pero no hace nada, queda muerta sin video ni actividad;0
2623;10621;auricular interno;cambio de flex;sin audio entrante al llamar, tambien cuando falla la camara;0
2624;11146;NO DESAPARECE MODO DEMO;SE TIENEN QUE PRESIONAR LAS TECLAS CH+ Y MENU AL MISMO TIEMPO.;SOLO PRESENTABA ELMODO DEMO.;0
2625;11147;Sin imagen legible;SE cambió el zoque del TRC y listo.(este daño es muy frecuente en estos modelos de TV.;No se distinguía casi nada de imagen era completamente borrosa y tenía un ruido, de los típicos de escape de alto voltaje en la parte posterior de el TRC ;0
2626;11148;NO IMPRIME BIEN MARCA RALLONES EN LA HOJA;NECESITARA CAMBIARSELE EL BUS;;0
2627;10050;Formatear e instalar s.o. wxpsp3 y drivers;Se formateo e instalÃ³ S.O. Wxpsp3 y drivers;;0
2628;10050;No inicia windows normalmente - Formatear e instalar s.o. wxpsp3 y drivers;Se formateo e instalo s.o. wxpsp3 y drivers;;0
2629;10050;No inicia windows, llega al escritorio y se cuelga - revision general.;Se formateo e instalo Sistema Operativo Windows Xp SP3 y drivers. Se respaldÃ³ 1 gb de datos.;;0
2630;11149;representación con efecto almohada;cambiar integrado de corrección este/oeste y luego regular con los presets (3);no responde a los presets de ajuste este/oeste.;0
2631;11150;enciende y a los pocos minutos se apaga;se remplazaron los filtros c-519 de 33a160vol--c552-10a250vol;se prendía y luego de un rato de estar funcionando se apagaba;0
2632;11151;pantalla borrosa o nublada de 3/4 hacia abajo y un poquito de hacia arriba;se remplazo el integrado de vertical estaba en corto;se prendía y solo se veia la imagen en la parte superior de la pantalla solo un tramo de ella y el resto borroso como cuando esta desenfocada la pantalla;0
2633;11152;Enciende hay audio no hay imagen cinescopio en negro;Se cambio flyback FUH29A001B se midió ohmeaje del pin de la unidad de enfoque y screen al cable que va a la base del cinescopio del screen y mide 120K aproximado el nuevo midió 14.5 Megas se cambio y encendió OK;Se conecta el cable de alimentación cierra relevador de bobina desmagnetizadora y se corta si hay alto voltaje encienden filamentos estan sus voltajes el votaje de screen solo hay 13V deve tener 235V aproximado ;0
2634;11153;NO HAY VIDEO SOLO AUDIO PANTALLA NEGRA;SE MIDIERON VOLTAJES A LA BASE DEL CINESCOPIO Y TODOS OK SE ENCONTRARON FALSAS SOLDADURAS EN EL IC LA 7845 DE VERTICAL SE CAMBIARON LOS SWITCH DE FUNCIONES;ENCIENDE CON AUDIO SIN VIDEO PANTALLA NEGRA Y REALIZA FUNCIONES EQUIVOCADAS VOLUMEN,CANALES Y MAS;0
2635;11154;NO ENCIENDE;SE MIDIO VOLTAJE B+ DE 106V SOLO HAY 13V LOS 14V Y 9V EN 0V LOS 5V DE POWER, DE EEPROM, AL MICROJUNGLA SI LOS HAY NO HAY PULSO DE POWER ESTA MUERTA SE QUITO LA EEPROM Y ARRANCO OK PERO HAY QUE PONER EEPROM PROGRAMADA PARA QUE REALICE SUS FUNCIONES OK (24C08);NO ENCIENDE SE CONECTA EL CABLE A LA LINEA DE AC Y SOLO EL LED DE STAND-BY QUEDA ENCENDIDO DEL RESTO MUERTA;0
2636;11155;NO PRENDE;CAMBIAR 5 FILTROS DE 470MF/25V Y 4 FILTROS DE 220MF/25V. EN EL MODULO DE LA FUENTE/INVERSOR.;NO FUNCIONA NADA.;0
2637;10763;No funcionan algunas de las teclas principales.;Cambiar la cinta flex.Aquella que inluye la cámara, teclado y lectos de M2;No funconan algunas de las teclas principales, incluyendo problemas en el lector de la tarjeta de memoria.;0
2638;11156;No accionaban algunas teclas;Fué necesario una buena limpieza con limpia contactos y listo;No accionaban algunas de las teclas principales y volumen;0
2639;11157;No imprime correctamente;Cambio de piñón de avance de cinta, este piñón se daño debido a que la cinta esta lenta al rodar y esto ocasiona que el piñón se esfuerce mas y se rompa.;;0
2640;11158;NO ENGANCHA NINGÚN CANAL;SE LAVO CON TINER ACRÍLICO LA ETAPA DEL JUNGLA SE AJUSTO LA BOBINA DE ENGANCHE DEL CANAL HASTA QUE SE SINTONIZO DE FORMA CLARA EL CANAL LUEGO SE PROGRAMARON TODOS LOS CANALES EXISTENTES EN LA RED DE CABLE DE LA CIUDAD Y TODOS QUEDARON CLAROS Y NÍTIDOS;SE SELECCIONABA CUALQUIER CANAL Y NO LO SINTONIZABA SOLO SE MIRABAN RAYAS DISTORSIONADAS;0
2641;9685;no muestra imagen y no da sonido;"agradezco me den una solucion.
ltorres@avantek.com.co";se enciende y solo queda la pantalla blanca, se le cambiaron 2 condensadores y se estallaron, luego se le colocaron unos con mas capacidad de voltaje y no se estallaron, pero sigue sin imagen ni sonido.;0
2642;11159;No prende;C 864 = 1000 mfd - 25 Vdc explotado, y C 865 = 1000 mfd - 25 Vdc explotado, Swicht On Off defectuoso, reemplace todo y encendió;;0
2643;10043;No Gira;Se cambia correa y polea;;0
2644;11160;No enciende, falla sintonía y no abre vertical.;Se reconstruye placa de alta tensión (estaba partida), se cambian todos los capacitores de la misma, se repara alimentación de jungla R551 (3,9 x 2w)(falla sintonía y color), se cambia salida vertical;;0
2645;11161;No abre vertical;Se repara salida vertical (stv9302a y r 1 Ohm);;0
2646;11162;Bloqueado y vertical;Se cambia memoria (24C08) y se reprograma para reparar vertical.;;0
2647;11163;no lee la sim;cambiar el vga que es el que se encarga de esta parte;por lo general es el vga o cristal que esta mas cerca al lector de la sim;0
2648;9906;no da luz mas la imagen esta dado;primero miremos con el tester si los bombillos estan buenos, si no es asi cambiar unos integrados de color claros que estan al lado derecho del conector del flex a la plaqueta, si nada hay que cambiar unos integrados, si estan interesados en ellos enviame un msn y yo te enviare una imagen para que los observes comunicel1415@hotmail.com;no da luz;0
2649;11164;No enciende, fuente bien.;Le cambié el driver horizontal , el Q402, es un 2SC 2330 que estaba con fugas y arrancó perfecto.;El tv al conectarlo a la red encendía el led de power , pero al darle al botón de power apagaba el led normalmente pero el tv no encendía.;0
2650;11165;no enciende;la falla se encontró r-417 estaba abierta su valor es de 1-ohmio de 1/2w.se remplazo y el t.v. arranco muy bien.;no enciende;0
2651;11166;no enciende;en este modelo falla el transformador oscilador T-401 se abre el primario y por lo tanto no hay oscilación y no arranca.se remplazo trafo y todo o.k.;no enciende.;0
2652;11167;problema con circuito vertical;se cambiaron filtros electrolíticos de 1000uf 16vy es el c-309,el c-313 de 47uf25v ,elc-316de 100uf 25v.se cambia r-509 de 15 ohmios 1/2w.;no abría totalmente.;0
2653;11168;ni un canal.;la falla se encontró en sintonizador numero 8-598-431-00 btf-wa411.se remplazo y todo bien.;no se veía ni un canal;0
2654;11169;sin audio y video;se soluciona el problema cambiando la eeprom numero 24c04 y todo queda bien.;sin audio y video.encendía al conectarlo a la red,y sale mensaje en la pantalla HEAT-RUN.;0
2655;11170;quemaba tsh;se encontró que el regulador de la fuente averiado el voltaje se eleva a 160vcd. se reemplazo str-50103 ;quemaba el tsh.y se veía ensanchamiento horizontal.;0
2656;11171;pantalla sin luminancia;el problema se resuelve cambiando el ic tda 8377a;pantalla oscura, y sin video.;0
2657;11172;No prende.;Se encontró transistores referencia c2335 en corto, dos unidades, están ubicados dentro de una pequeña caja de aluminio.;fusible de 4 amperios se quema.;0
2658;10050;RevisiÃ²n general. Se cuelga.;Se detectÃ³ ddr defectuoso, se recomienda reemplazarlo. Presupuesto ddr2 de 1gb Bs.F135,oo. Se recomienda colocarle fan cooler a la tarjeta de video.;;0
2659;10058;Virus, revision general.;Mantenimiento de software, actualizacion de antivirus, eliminacion de software publicitario.;;0
2660;11173;Mantenimiento preventivo, limpieza de sistema operativo, instalacion de antivirus e instalar Autocad. entregar el miercoles a medio dia.;;;0
2661;11173;Mantenimiento preventivo, limpieza de sistema operativo, instalacion de antivirus e instalar Autocad. entregar el miercoles a medio dia.;;;0
2662;11173;FORMATEO Y REINSTALACION DE WINDOWS XP;;;0
2663;11174;se apaga;"Rectificación de soldaduras en IC451,adicional por mantenimiento en toda la plaqueta y socket de pantalla.";después de 15 minutos se apaga;0
2664;9869;Es para cualquier tv Philips que lleve el chasis L03 , la falla es que al apagarlo con el remoto a los pocos segundos se enciende solo.;"Reemplazar L5601 por un diodo schotky (1N5819 o BAT85) , el catodo del lado de C2616.
Cortar la R3618 del lado del pin 1 de la memoria y conectar con un cable el catodo del diodo al pin libre de la resistencia.";el tv funciona bien pero cuando lo apagas desde el remoto, se enciendxe solo;0
2665;1456;no enc;se cambió capacitor electrolítico en la fte de 220mf x 400v;El cliente ,comento que por momentos funcionaba,pero en las pruebas no hay tensíon en el 2rio;0
2666;11175;No enciende;Cambiar el Transistor Q533 Bux2515Dx ademas comprobar las soldaduras del transformador de lineas ademas del conector de las detectoras (se suele destruir el transistor por culpa de soldaduras frias);cuando la conectas se enciende el piloto y parpadea,sin llegar a conectarse;0
2667;11176;Sin video;"En la linea de abl Medir 
La tensión de si marca 0v remplazar c213 capacitor de poliéster en corto mandando a 0v la tensión.
 este voltaje mediante una r reduce a 9v que alimenta el transistor amplificador de contraste
Al no tener esa tensión el jungla cortaba el video verificar esta tensión en el pin 12 del la7680 si no se encuentra presente verificar el transistor asociado luego la línea de abl que este caso tenia un capacitor de poliéster en corto mandando a 0v la tensión.
Nota: el numero de componente puede variar de una marca a otra tener en cuenta que el capacitor mencionado se encuentra en la linea de abl cerca del TSH.";Sonido y osd normal, sin video la pantalla permanece toda oscura al subir el screen la pantalla no se ilumina ni aparece lineas de retraso.;0
2668;11177;Sin audio;Cambiar o  revisar R3630 (10k,superficial)que sale del pin 2 del micro si esta bien cambiar o revisar capacitor 2121(220n,superficial) conectado al pin2 del amplificador de audio si no se dispone de capacimetro cambiar directamente.;Permanece sin audio en tuner y tambien por audio  video.;0
2669;11178;Relay de los parlantes se salta siempre;se reemplazo el q6703 y q6704;Se probo voltaje en el pin 15(dc detect)del conector cn651 y comprobamos la presencia de voltaje(0.68 vdc) por lo que se activaba la protección...esto era ocasionado por el q6704 que estaba alterado..;0
2670;11179;no enciende;Capacitor c807 (.022mf)abierto;no enciende;0
2671;11180;vertical;cap 305    1000 uf x 35v;lineas negras en la parte inferior del tv;0
2672;11180;vertical;cap 302   1uf x 50 v;la imagen se achica, banda negra ancha en la parte superior e inferior;0
2673;11181;No prende;se procedió al chequeo encontrando abierto el fusible y en corto el MA 8630.;se conecta a la red y no funciona absolutamente nada.;0
2674;11182;no lee dvd;cambiar motor que hace girar el disco;no lee dvd si lee cd;0
2675;11183;La lampara se apaga;Desoldar y Resoldar las bobinas del inverter. Es recomendable extender la garantía de estos productos a 2 o 3 años, para que entre a garantía con HP.;Si hay imagen, pero la luz del monitor se apaga a los 2 segundos de encenderla.;0
2676;11184;No arranca. Stand by enciende.;C453 de 47u*35V en corto;"Enciende en stand by, la fuente funciona, pero no hay alta tensión.";0
2677;9890;LA IMAGEN APARECE Y DESAPARECE;SI YA SE PROBO EL FLEX, LA TARGETA SUPERIOR DEL DISPLAY Y LA PANTALLA Y NO FUNCIONO CON NINGUNO, SE PUEDE PROBAR CON EL CAMBIO DE UN CONJUNTO DE RESISTENCIAS QUE ESTAN SOBRE Y AL LADO DEL CONECTOR DEL FLEX EN LA TARGETA PRINCIPAL ES COMO UNA ORUGA DE CUATRO PATAS A CADA LADO (HAY CUTRO), SE PUEDE COLOCAR PUENTES YA QUE SU RESISTENCIA ES DEMACIADO BAJA.;POSIBLEMENTE MOJADO;0
2678;9890;LA IMAGEN APARECE Y DESAPARECE;SI YA SE PROBO EL FLEX, LA TARGETA SUPERIOR DEL DISPLAY Y LA PANTALLA Y NO FUNCIONO CON NINGUNO, SE PUEDE PROBAR CON EL CAMBIO DE UN CONJUNTO DE RESISTENCIAS QUE ESTAN SOBRE Y AL LADO DEL CONECTOR DEL FLEX EN LA TARGETA PRINCIPAL ES COMO UNA ORUGA DE CUATRO PATAS A CADA LADO (HAY CUTRO), SE PUEDE COLOCAR PUENTES YA QUE SU RESISTENCIA ES DEMACIADO BAJA.;POSIBLEMENTE MOJADO;0
2679;9890;LA IMAGEN APARECE Y DESAPARECE;SI YA SE PROBO EL FLEX, LA TARGETA SUPERIOR DEL DISPLAY Y LA PANTALLA Y NO FUNCIONO CON NINGUNO, SE PUEDE PROBAR CON EL CAMBIO DE UN CONJUNTO DE RESISTENCIAS QUE ESTAN SOBRE Y AL LADO DEL CONECTOR DEL FLEX EN LA TARGETA PRINCIPAL ES COMO UNA ORUGA DE CUATRO PATAS A CADA LADO (HAY CUTRO), SE PUEDE COLOCAR PUENTES YA QUE SU RESISTENCIA ES DEMACIADO BAJA.;POSIBLEMENTE MOJADO;0
2680;10500;NO DA LUZ EN PANTALLA PERO SI DA IMAGEN;SI YA SE CAMBIO EL FLEX Y LA TARGETA QUE ESTA ENTRE LOS DOS DISPLAY Y NO FUNCIONO SE PUEDE PUENTIAR UNA RESISTENCIA-FUSIBLE QUE ESTA ENTRE EL VIBRADOR Y EL BLINDAJE DE SEÑAL.;POSIBLE GOLPE O SOBRECARGA EN FLEX;0
2681;11185;no enciende recibió descarga;reparar fuente D601 S3WB60Z en corto F601 F5AA abierto resoldar placa mucha falsa soldadura reactivar cinescopio colores feos y opaca servicio y ajustes;NO ENCIENDE MUERTA;0
2682;11186;no hay señal de canales;se desconecto el pin 15 del IC701 DW863240W-LA4  51P9 y la imagen entra ok con audio dañado el micro cambiarlo en este caso no se cambio se dejo el mismo con el pin desconectado como prueba en este caso mide del pin 15 a tierra 1580 ohns ;pantalla blanca lluviosa sin audio solo ruido como cuando se quita el cable;0
2683;11187;enciende y se apaga en varios segundos;se midieron voltajes del IC661 MSP 3440G B8 V3 procesador de audio y en el pin 33 deve tener 8.2v y no los hay se desconecto el pin y ya hay 8.2v se cambio el IC y ya hay audio. Del video se midió el voltaje de screen en la base del cinescopio y solo tenia 150v se reactivo el cinescopio se eliminaron cortos internos y ya entro imagen y audio y el voltaje 270v y todo funciono ok el micro se puso el MSP 3440G B6 lo trae samsung;no hay audio, no hay video pantalla verdosa con rallas luego se puso pantalla negra;0
2684;11188;no enciende;se cambio flyback FCM2015ML ya encendió pero no abre verticalmente se encontró falsa soldadura en el IC de vertical;;0
2685;11189;fuga de alto voltaje viene destapada de un taller;se encontró el C2212 de 22MF16V alterado solo mide 12mf conecta al pin 30 de la jungla IC X1200 LA 7672 se cambio y todo funciono ok;al poner power se escucha como fuga de alto voltaje y presenta el defecto de árbol de navidad se midieron componentes, voltajes se cambiaron jungla, fly, base de cinescopio y todo sigue igual.;0
2686;10233;NO DA IMAGEN O QUEDA EN BLANCO;SI YA SE CAMBIO EL FLEX Y SE PROBO LA PANTALLA HAY QUE CAMBIAR EL INTEGRADO QUE SE ENCUENTRA AL FRENTE DE EL CONECTOR DEL FLEX EN LA TARGETA PRINCIPAL ES UN CRISTAL QUE TAMBIEN SE PUEDE PUENTIAR;POSIBLE GOLPE O MOJADO;0
2687;10068;No carga el  sistema operativo  y marca error de booteo;Se le borro la memoria del cmos, y se le activo el controlador IDE del bios, yyyy SOLUCIONADO;marca error de booteo;0
2688;11190;Imagen con deformaciones y ondulaciones en sentido horizontal.;"Cambio elementos defectuosos citados y algunos filtros relacionados con éstos circuitos.
Entro en menú de servicio y reajusto de nuevo todos los ajustes de geometría horizontal, que han variado ostensiblemente con la reparación.
 (hay que ajustar doblemente, cambiando el formato de pantalla en los dos modos que permite estando en menú de servicio, para que aparezcan después correctas las geometrías de los distintos formatos)";"Fuertes ondulaciones, sobre todo en extremos horizontales de la imagen. Los ajustes de servicio pueden conseguir que disminuyan según ajustemos anchura, E-O, etc.
Se observa fuerte calentamiento de diodo zener D516 (BZT03C47)y una tensión en extremos de unos 12v (bastante más baja que la de los alrededor de 40v, con circuitos correctos)
La bobina de corrección L603 (HR18016)tiene aspecto sospechoso de fugas entre espiras y recalentamiento.
Se comprueba defectuoso con fugas entre base- emisor, el transistor SMD de correcciones Q506 (2SD2391)";0
2689;11191;no enc,tampoco lo hace el led;quemadas las rs r603 y r604 de 180k,a pesar de haberlas cambiado seguía sin encender,falla que era producida por el c.electr c610 de 47mf x 50v,se cambió y arrancó perfectamente;no hay tensión en el 2rio;0
2690;10525;windows con virus malo;instalacion de windows xp, office 2007, avg garantia 30 dias por sofware no por virus;;0
2691;9979;no lee los cd copia solo los originales;chequeo de toda placa del circuito un cable del chip estaba suelto solucionado;lee dvd, musica, y cd original;0
2692;11192;Vertical inestable. No engancha el sincronismo. A veces pierde color.;Cambio de capacitores electrolíticos C208 de 4,7/25 y C209 de 47/35.;Capacitores C208 de 4,7/25 y C209 de 47/35 secos situados en la plaqueta de sincronismo y salida RGV. (Serigrafía en en esta plaqueta: SYNC./VIDEO BOARD );0
2693;4295;sin color;se resolda todo el c.integrado de croma  dejandolo ok;tv sin color;0
2694;3729;no se veia la imagen solo nieve;En este caso era el transistor del horizontal que aparentemente tenia bien soldada una pata pero esta soldadura en forma del volcar estaba vacia y no hacia contacto con la placa..- Espero les sirva. atte. Tb222;al mover la placa del televisor salia la imagen pero no habia un punto exacto para buscar una soldadura fria, y el audio lo tenia bien bajo.-*;0
2695;4715;sale una cruz en la pantalla;cambiar memoria eprom, hay que ponerla ya programada.;se ve una cruz blanca en pantalla;0
2696;10050;Formatear e instalar s.o. wxp y drivers. No respaldar datos;Se formateo e instalo s.o. wxpsp2 y drivers;;0
2697;11193;Tv sin audio;cambie los tres integrados tda 2616Q que estaban malos y al lado de cada uno de estos integrados hay una especie de transistor de ref H0011 de dos patas que hace las veces de protección como fusibles. tambien estaban abiertos, los cambie y problema solucionado ;el televisor funciona normalmente pero sin audio;0
2698;10356;Inyector amarillo  no tiene presencia de imprecion (inyectores tapados). Al imprimir en negro sale dobles lineas en reflejo.;SE LIMPIO LOS 4 INYECTORES CON ALCHOOL ISOPROPILICO, COMO TAMBIEN TUBO DOS DIAS EN REMOJO CON DISTINTAS MEZCLAS DE LIQUIDOS PARA SU DESTAPE. SE CALIBRO EL CABEZAL PARA REAJUSTAR EL NIVEL DE IMPRECION PARA NO REFLEJE DOBLES LETRAS. SE AGREGARON DOS CARTUCHOS. 22+40;;0
2699;10081;no carga windows se reinicia;;;0
2700;10050;No inicia windows. formateo.;Se formateo e instalo S.O. wxpsp3 y drivers;;0
2701;10050;No inicia windows - Pantallazo azul;Se formateo e instalo S.O. wxpsp3 y drivers;;0
2702;10050;Formatear e instalar s.o. wxpsp3 y drivers en el d.d. de 40gb y colocar el d.d. de 80gb como esclavo (formatearlo);Se formateo e instalo S.O. wxpsp3 y drivers.;;0
2703;10050;Revisar conexion a internet. Revisar la unidad de floppy.;Tenia tarjeta de red y puerto pci sulfatado, se reemplazo tarjeta de red y se formateo el equipo ya que tenia problemas en el S.O.;;0
2704;10050;Revisar puertos usb y video;Se le instalÃ² tarjeta pci de 4 puertos usb;;0
2705;10058;Revision General - Tiene virus que altera documentos de Word - CLAVE:13477149P;Se formateo e instalo S.O. wxpsp3 y drivers. Se reemplazo la fuente de voltaje por una Mustiff atx 550 watts;;0
2706;10050;Formatear e instalar s.o. wxpsp3 y drivers - Respaldar datos (en lo posible);Se formateo e instalo S.O. wxpsp3 y drivers;;0
2707;10050;No inicia S.O., si es necesario formatear respaldar datos antes (en lo posible);Se formateo e instalo S.O. Wxpsp3 y drivers. No hubo posibilidad de respaldar datos ya que los mismos se habian perdido del disco duro.;;0
2708;11194;El TV funciona normal. Luego de unos minutos pierde el video y queda el sonido únicamente aunque bloqueado los controles.;Se descubrió que el D310 (ISS133) bloqueaba el Jungla al no llegarle el pulso del Flyback. Aunque medía bien fue necesario cambiarlo.;El jungla (CXA1313S) deja de entregar el pulso para el Drive Horizontal las demas señales quedan junto con los voltajes. Al chequear los pulsos de Data y Clock de los pines 47 y 48 no estaban cuando el TV se bloqueaba. ;0
2709;11195;Trata de prender y se apaga.;Se reemplazaron por el D773 junto con el par de condensadores C6 y C7 (azules y estan juntos y en paralelo) de 0,27/250V abiertos causantes del daño de los transistores.;Se encontró los transistores Q8 al Q15 (SD965) en la Board de la sección Conversora de Alto Voltaje para las Lamparas en corto.;0
2710;11196;No hay brillo, fuente bien, canales bien;Este tv usa el IC jungla TDA8377A, y en la salida de los cañones usa el IC TDA6107Q en este IC en los pines 1,2 y 3 deben haber aproximadamente 3.2vcc además en el pin 5 que es el CUT deberían haber 8vcc, pero no hay nada. Lo que hice fué que puse una resistencia de 470ohm entre el pin del cut y los +8vcc, con esto me dió el video, pero tuve que retocar la tonalidad, el contraste y el color en los datos del eeprom para que me quedara bien.;No hay brillo en lo absoluto,la fuente esta bien,los voltajes secundarios del fly back estan bien, hay sonido y sintoniza bien los canales;0
2711;11197;No enciende;La resistencia R219 de 39Kohm ubicada en el pin 25 del TDA9377(JUNGLA), estaba abierta;No enciende pero si enciende el LED de standby y cuando le doy power se apaga el LED y se activa el multiregulador IC KA7632 el cual envía los +8vcc al IC TDA9377,pero no hay salida de señal horizontal en el pin 33 del TDA9377 (jungla), y también no trabajan los micro switch de power,canales,volumen, menú, o sea ninguno, quedan bloqueados después de dar power.;0
